,screen_size,screen_resolution,cpu_speed,ram,memory,weight,price,ppi,brand_acer,brand_apple,brand_asus,brand_dell,brand_hp,brand_lenovo,cpu_amd_3,cpu_amd_5,cpu_amd_7,cpu_amd_9,cpu_amd_athlon,cpu_amd_r_series,cpu_apple,cpu_intel_celeron,cpu_intel_i3,cpu_intel_i5,cpu_intel_i7,cpu_intel_i9,cpu_intel_pentium,cpu_mediatek_mt8183,cpu_other,gpu_amd,gpu_apple,gpu_intel,gpu_nvidia,gpu_other,gpu_description_dedicated,gpu_description_integrated,OpSys_mac_os,OpSys_windows,color_black,color_blue,color_gold,color_grey,color_other,color_silver,color_white
14,13.5,3393024,3.7,8.0,512.0,3.85,493.0,200.84255993695703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
15,11.6,1049088,2.0,4.0,64.0,2.31,224.0,135.0942111925629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
16,14.0,2073600,3.9,8.0,512.0,3.06,699.99,157.3505121487356,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
17,15.6,2073600,3.0,20.0,1024.0,4.19,439.0,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
18,14.1,2073600,4.3,8.0,512.0,3.0,479.0,156.23455106966654,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
19,15.6,2073600,4.0,8.0,256.0,4.19,489.98,141.21199808219862,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
20,11.6,1049088,2.6,4.0,64.0,2.62,226.0,135.0942111925629,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
21,15.6,2073600,4.5,16.0,512.0,7.13,699.99,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
22,11.6,1049088,2.4,4.0,32.0,3.91,179.98,135.0942111925629,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
23,15.6,2073600,4.1,8.0,256.0,5.1,655.0,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
