brand,model,screen_size,screen_resolution,cpu,cpu_speed,ram,memory,gpu,graphics_card_description,OpSys,weight,color,No_reviews,ratings,price,link_item
Dell,Dell XPS 13 9315,13.4 Inches,1920x1080,core_i5,3.3 GHz,8 GB,256 GB,Intel Iris Xe Graphics eligible,Integrated,Windows 11,2.59 pounds,Blue,,,$799.00 ,https://www.amazon.com/Dell-Business-Anti-Glare-i5-1230U-Thunderbolt/dp/B0CKRJ844Y/ref=sr_1_990
Dell,Dell Inspiron 3525 Laptop,15.6 Inches,1920 x 1080 pixels,ryzen_7,4.5 GHz,64 GB,1 TB,AMD Radeon Graphics,Integrated,Windows 11 Home,3.73 pounds,Black,428 ratings,4.1,$989.99 ,https://www.amazon.com/Dell-Inspiron-Laptop-Processor-Anti-Glare/dp/B0CGDG6XL1/ref=sr_1_988
Dell,Inspiron,15.6 Inches,1920 x 1080 pixels,core_i5,2.4 GHz,16 GB,1 TB,Intel UHD Graphics,Integrated,Windows 11 Pro,3.65 pounds,,6 ratings,4.6,$659.00 ,https://www.amazon.com/Dell-15-3520-Touchscreen-Quad-Core/dp/B0CC596FJL/ref=sr_1_986
Dell,Dell Precision,17.3 Inches,1600 x 900 pixels,,,8 GB,500 GB,AMD FirePro M6100,Integrated,Windows 10 Pro,7.76 pounds,,18 ratings,4.1,$395.97 ,https://www.amazon.com/Dell-Precision-M6800-17-3in-Notebook/dp/B01LYD2JON/ref=sr_1_999
Dell,Inspiron 16 5620,16 Inches,1920 x 1200,core_i7_family,2.4 GHz,32 GB,1 TB,NVIDIA GeForce MX570,Dedicated,Windows 11 Pro,4.12 pounds,Platinum Silver,,,"$1,489.99 ",https://www.amazon.com/Dell-Inspiron-16-i7-1255U-Fingerprint/dp/B0CKBX3YPZ/ref=sr_1_1031
Dell,Alienware,17.3 Inches,1920 x 1080 pixels,ryzen_9,3.3 GHz,64 GB,2 TB,NVIDIA GeForce RTX 3070 Ti 8GB GDDR6,Integrated,Windows 11 Home,7.3 pounds,,,,"$1,849.00 ",https://www.amazon.com/Dell-Alienware-m17-R5-Octa-Core/dp/B0CH141YGT/ref=sr_1_987
Dell,,13.3 Inches,1920 x 1080 pixels,apple_ci5,2.4 GHz,8 GB,256 GB,Intel UHD Graphics 620,Integrated,Windows 10 Pro,,,1 rating,5,$206.86 ,https://www.amazon.com/Dell-Latitude-Anti-Glare-Flagship-Quad-Core/dp/B087BSGDLF/ref=sr_1_1027
Dell,Dell Inspiron,15.6 Inches,1920 x 1080 pixels,core_i7,4.7 GHz,32 GB,1 TB,Intel Iris Xe Graphics,Integrated,Windows 11 Pro,13.91 pounds,32GB RAM | 1TB SSD,1 rating,1,$959.42 ,https://www.amazon.com/Dell-Inspiron-Business-i7-1255U-Keyboard/dp/B0C6KD16KY/ref=sr_1_985
Dell,Dell Latitude,14 Inches,1920 x 1080 pixels,apple_ci5,1.7 GHz,16 GB,256 GB,Intel UHD 620 Graphic,Integrated,Windows 11 Pro,3 pounds,,5 ratings,3.1,$255.69 ,https://www.amazon.com/Dell-Latitude-5490-i5-8350U-Windows/dp/B0B1H1D5VK/ref=sr_1_1030
Dell,Dell Inspiron i7430 2-in-1,14 Inches,1920 x 1200,core_i7_family,3 GHz,16 GB,512 GB,Intel Iris Xe Graphics,Integrated,Windows 11 Pro,3.48 pounds,Platinum Silver,,,"$1,239.00 ",https://www.amazon.com/Dell-Inspiron-Touchscreen-i7-1355U-Thunderbolt/dp/B0CDLQCJ26/ref=sr_1_1026
DELL,Inspiron 15,15.6 Inches,1920 x 1080 pixels,apple_ci5,4.4 GHz,32 GB,1 TB,Intel UHD Graphics,Integrated,Windows 11 Home,6 pounds,"32G RAM, 1TB SSD",,,$679.00 ,https://www.amazon.com/DELL-Inspiron-15-1920x1080-Bluetooth/dp/B0CK54X443/ref=sr_1_1025
Dell,Inspiron,16 Inches,1920 x 1200 pixels,core_i7_family,1.5 GHz,64 GB,2 TB,Intel Iris Xe Graphics,Integrated,Windows 11 Home,5 pounds,Silver,4 ratings,4.1,"$1,399.00 ",https://www.amazon.com/Dell-Inspiron-7620-Touchscreen-i7-1260P/dp/B0BWK91BVQ/ref=sr_1_1024
Dell,Latitude 15 5590,15.6 Inches,1366 x 768,core_i5,2.6 GHz,8 GB,256 GB,Intel HD Graphics 620,Integrated,Windows 10 Pro,4.14 pounds,Black,3 ratings,4.6,$260.49 ,https://www.amazon.com/Dell-Latitude-Business-Certified-Refurbished/dp/B07DTLRR3D/ref=sr_1_1022
Dell,Vostro 5620,16 Inches,1920 x 1200 pixels,core_i7,2 GHz,16 GB,512 GB,Intel Iris Xe Graphics,Integrated,Windows 11 Pro,4 pounds,Titan Gray,9 ratings,3.4,$929.99 ,https://www.amazon.com/Dell-Vostro-5620-Business-i7-1260P/dp/B09X2YJQ3R/ref=sr_1_1021
Dell,Latitude 7430 Laptop,14 Inches,1920 x 1080 pixels,core_i7,3.6 GHz,32 GB,1000 GB,Intel Integrated Graphics,Integrated,Windows 11 Pro,2.69 pounds,Black,,,$989.99 ,https://www.amazon.com/Dell-Latitude-7430-Laptop-i7-1TB/dp/B0C1XTJHTD/ref=sr_1_1019
Dell,Dell Latitude 7490,14 Inches,1920 x 1080 pixels,apple_ci5,1.69 GHz,16 GB,512 GB,I5-8350U,Integrated,Windows 10 Pro,5 pounds,,2 ratings,5,$341.58 ,https://www.amazon.com/Dell-Latitude-7490-Business-Bluetooth/dp/B0BS8XYLGT/ref=sr_1_1017
Dell,Inspiron 15 3520 Laptop,15.6 Inches,1920 x 1080 pixels,core_i5,4.2 GHz,16 GB,512 GB,Intel UHD Graphics,Integrated,Windows 11 Home,3.82 pounds,Black,31 ratings,4.1,$569.99 ,https://www.amazon.com/Dell-Inspiron-15-3520-Laptop/dp/B0CJC1KL88/ref=sr_1_1020
Dell,Precision 7670 Laptop,16 Inches,1920 x 1200 pixels,core_i7,3.4 GHz,32 GB,1000 GB,Nvidia RTX A1000,Integrated,Windows 11 Pro,5.75 pounds,Silver,,,"$1,269.99 ",https://www.amazon.com/Dell-Precision-7670-Workstation-Laptop/dp/B0BTXWDZ61/ref=sr_1_1016
Dell,Inspiron 15 3000,15.6 Inches,1366 x 768,celeron_n,1.3 GHz,4 GB,256 GB,Intel UHD Graphics,Integrated,Windows 11 Home,4.85 pounds,Carbon Black,,,,https://www.amazon.com/Dell-Inspiron-LED-Backlit-Celeron-Windows/dp/B0CLGNMCDT/ref=sr_1_1015
Dell,Latitude 7420 Laptop,14 Inches,1920 x 1080 pixels,core_i7,1.2 GHz,32 GB,1000 GB,Intel Integrated Graphics,Integrated,Windows 11 Pro,2.7 pounds,Black,,,$879.99 ,https://www.amazon.com/Dell-Latitude-7420-Laptop-i7-1TB/dp/B0CCRTJH3H/ref=sr_1_1014
Dell,Dell Latitude,15.6 Inches,1366 x 768 pixels,Core_i7_3520M,2.9 GHz,8 GB,240 GB,Integrated HD Graphics,,"Windows 10 Professional 64 Bit, Multi-Language Support English/Spanish",5.2 pounds,,30 ratings,4.3,$277.17 ,https://www.amazon.com/Dell-Latitude-E6530-Multi-Language-Refurbished/dp/B07H6HGK9C/ref=sr_1_1013
Dell,Dell XPS 13 9370 Laptop,13 Inches,3840 x 2160 pixels,apple_ci7,1 GHz,16 GB,512 GB,Intel UHD Graphics,Integrated,Windows 10 Pro,3.88 pounds,Silver,,,$689.99 ,https://www.amazon.com/Dell-9370-Touchscreen-Thunderbolt-Professional/dp/B0B48NKP16/ref=sr_1_1009
Dell,5425,14 Inches,1920x1200,amd_ryzen_7,2 GHz,32 GB,1 TB,AMD Radeon Graphics,Integrated,Windows 11 Pro,3.4 pounds,Silver,,,$798.00 ,https://www.amazon.com/Dell-Inspiron-Business-Fingerprint-Bluetooth/dp/B0C7NCZC1Y/ref=sr_1_1010
DELL,Latitude 7430,14 Inches,1920 x 1080,core_i7_family,2.7 GHz,16 GB,2 TB,Intel Iris Xe Graphics,Integrated,Windows 10 Home,7.99 pounds,Carbon Black,,,"$1,489.00 ",https://www.amazon.com/Latitude-7430-Business-Thunderbolt-Fingerprint/dp/B0CKMVM7RK/ref=sr_1_1053
Dell,Dell Latitude 3120 Laptop,11.6 Inches,1366 x 768 pixels,pentium,3.3 GHz,4 GB,128 GB,Intel UHD Graphics,Integrated,Windows 10 Pro,4.84 pounds,Silver,16 ratings,3.7,$159.99 ,https://www.amazon.com/Dell-3120-Processor-Bluetooth-Professional/dp/B0B14C43MQ/ref=sr_1_1011
