brand,model,screen_size,screen_resolution,cpu,cpu_speed,ram,memory,gpu,graphics_card_description,OpSys,weight,color,No_reviews,ratings,price,link_item
lenovo,IdeaPad,15.6 Inches,1366 x 768 pixels,athlon,3.2 GHz,8 GB,384 GB,AMD Radeon Graphics,Integrated,Windows 11 S,3.52 pounds,Gray,121 ratings,4.0,$379.99,https://www.amazon.com/IdeaPad-Laptop-Dual-Core-Processor-Bluetooth/dp/B0C2JB4CQ7/ref=sr_1_57
Lenovo,Lenovo Ideapad,17.3 Inches,1600 x 900 pixels,apple_ci3,3 GHz,8 GB,1 TB,Integrated,Integrated,Windows 11,4 pounds,,,,$268.94,https://www.amazon.com/Lenovo-IdeaPad-i3-1115G4-Windows-82H900DWUS/dp/B0BPQBRWCC/ref=sr_1_58
,,,,,,,,,,,,,,,$479.63,https://www.amazon.com/Lenovo-Ideapad-Essential-i3-1115G4-i5-1035G4/dp/B0CDVXTFKT/ref=sr_1_56
Lenovo,Ideapad 3i,15.6 Inches,1920 x 1080 pixels,intel_core_i5_1135g7,4.2 GHz,8 GB,512 GB,Intel Iris,Integrated,Windows 11,3.74 pounds,Gray,,,$479.00,https://www.amazon.com/Lenovo-i5-1135G7-Processor-Graphics-Bluetooth/dp/B0C9SGXHWR/ref=sr_1_53
Lenovo,100e Chromebook,11.6 Inches,1366 x 768 pixels,mediatek_mt8127,2.1 GHz,4 GB,,,Integrated,Chrome OS,2.67 pounds,Black,26 ratings,4.5,$87.54,https://www.amazon.com/Lenovo-Chromebook-81QB000AUS-Computer-Processor/dp/B07Z36FP7L/ref=sr_1_54
Lenovo,Lenovo Thinkpad,14 Inches,,I5-2320,,8 GB,128 GB,,Integrated,Windows 10,,Black,688 ratings,4.0,$129.90,https://www.amazon.com/Lenovo-T430-LED-backlit-Certified-Refurbished/dp/B0733H5YZY/ref=sr_1_52
lenovo,Lenovo N23,11.6 Inches,1366 x 768 pixels,celeron,1.6 GHz,4 GB,16 GB,Celron N3060,Integrated,Chrome OS,2 pounds,,63 ratings,4.1,$59.99,https://www.amazon.com/Lenovo-Chromebook-Laptop-Celeron-Renewed/dp/B088SGPWSS/ref=sr_1_51
Lenovo,Lenovo Chromebook 100e 2nd Gen,11.6 Inches,1366 x 768 pixels,arm_v7,1248 MHz,4 GB,32 GB,Intel UHD Graphics 600,Integrated,Chrome OS,4.2 pounds,Black,,,$79.95,https://www.amazon.com/Lenovo-Resistant-Chromebook-81ma000tus-Processor/dp/B0CGVP1T8J/ref=sr_1_50
Lenovo,Lenovo Ideapad,17.3 Inches,1600 x 900 pixels,apple_ci3,3 GHz,8 GB,1 TB,Integrated,Integrated,Windows 11,4 pounds,,,,$268.94,https://www.amazon.com/Lenovo-IdeaPad-i3-1115G4-Windows-82H900DWUS/dp/B0BPQBRWCC/ref=sr_1_77
Lenovo,81YK00CGUS,15.6 Inches,,Intel Core i7-1165G7,,16 GB,,,,Windows 10,,Graphite gray,242 ratings,4.3,$776.68,https://www.amazon.com/Lenovo-IdeaPad-Laptop-i5-1035G1-Touchscreen/dp/B08DJXYMJL/ref=sr_1_78
